City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.3333,62.01,73,92,1.99,AU,2021-04-30 01:38:26
iracoubo,5.4802,-53.2011,76.28,87,100,7.11,GF,2021-04-30 01:38:26
puerto ayora,-0.7393,-90.3518,74.68,84,85,7.25,EC,2021-04-30 01:38:26
tottori,35.5,134.2333,64.4,59,75,5.75,JP,2021-04-30 01:38:27
east london,-33.0153,27.9116,59.0,94,20,9.22,ZA,2021-04-30 01:38:27
aasiaat,68.7098,-52.8699,23.05,91,97,4.12,GL,2021-04-30 01:38:27
guasdualito,7.2424,-70.7324,75.2,100,100,1.14,VE,2021-04-30 01:38:28
rikitea,-23.1203,-134.9692,77.68,73,100,12.75,PF,2021-04-30 01:38:28
warrnambool,-38.3833,142.4833,68.29,53,0,5.77,AU,2021-04-30 01:38:29
bengkulu,-3.8004,102.2655,80.94,79,100,3.87,ID,2021-04-30 01:38:29
saldanha,-33.0117,17.9442,53.6,71,0,5.75,ZA,2021-04-30 01:38:29
lucea,18.451,-78.1736,77.0,78,20,4.61,JM,2021-04-30 01:38:30
yovon,38.3141,69.0378,86.0,32,20,13.42,TJ,2021-04-30 01:38:30
port elizabeth,-33.918,25.5701,59.0,88,0,12.66,ZA,2021-04-30 01:38:30
arraial do cabo,-22.9661,-42.0278,71.8,71,48,10.33,BR,2021-04-30 01:38:31
taoudenni,22.6783,-3.9836,84.7,30,100,13.98,ML,2021-04-30 01:38:31
saint-philippe,-21.3585,55.7679,82.4,69,0,24.16,RE,2021-04-30 01:38:32
mar del plata,-38.0023,-57.5575,57.99,93,0,6.91,AR,2021-04-30 01:37:48
guerrero negro,27.9769,-114.0611,62.08,78,0,9.86,MX,2021-04-30 01:38:32
vaini,-21.2,-175.2,75.2,94,90,16.11,TO,2021-04-30 01:38:32
victoria,22.2855,114.1577,82.0,67,59,7.0,HK,2021-04-30 01:36:17
oranjemund,-28.55,16.4333,56.88,76,0,9.6,NA,2021-04-30 01:38:33
coquimbo,-29.9533,-71.3436,55.4,88,90,2.3,CL,2021-04-30 01:38:33
tiksi,71.6872,128.8694,33.33,83,79,3.87,RU,2021-04-30 01:38:34
kambove,-10.8764,26.5969,68.59,83,69,6.06,CD,2021-04-30 01:38:34
campbell river,50.0163,-125.2446,50.0,88,100,1.99,CA,2021-04-30 01:38:35
chuy,-33.6971,-53.4616,53.98,88,0,5.06,UY,2021-04-30 01:38:35
bredasdorp,-34.5322,20.0403,53.6,82,75,4.61,ZA,2021-04-30 01:38:35
ushuaia,-54.8,-68.3,39.2,81,75,0.96,AR,2021-04-30 01:38:36
souillac,-20.5167,57.5167,78.8,78,75,16.11,MU,2021-04-30 01:38:36
lagoa,39.05,-27.9833,56.35,62,100,3.94,PT,2021-04-30 01:38:36
upernavik,72.7868,-56.1549,20.16,56,86,2.68,GL,2021-04-30 01:38:37
carnarvon,-24.8667,113.6333,78.8,65,100,18.41,AU,2021-04-30 01:38:37
walla walla,46.0646,-118.343,68.0,34,1,9.22,US,2021-04-30 01:37:53
kimbe,-5.5502,150.1429,80.73,83,100,1.99,PG,2021-04-30 01:38:38
pisco,-13.7,-76.2167,64.0,88,7,2.73,PE,2021-04-30 01:38:33
port blair,11.6667,92.75,87.8,70,40,5.75,IN,2021-04-30 01:38:38
caravelas,-17.7125,-39.2481,75.79,70,99,8.68,BR,2021-04-30 01:38:39
mataura,-46.1927,168.8643,51.01,79,42,7.0,NZ,2021-04-30 01:38:39
husavik,66.0449,-17.3389,33.8,100,90,9.22,IS,2021-04-30 01:38:40
tuktoyaktuk,69.4541,-133.0374,21.2,86,1,12.66,CA,2021-04-30 01:38:40
shanhetun,44.7,127.2,59.16,36,100,3.27,CN,2021-04-30 01:38:41
hobart,-42.8794,147.3294,64.0,72,20,6.91,AU,2021-04-30 01:38:41
warrington,53.3925,-2.5802,44.01,93,20,5.75,GB,2021-04-30 01:38:42
